teamId,teamCity,teamName,teamAbbrev,seasonFounded,seasonActiveTill,league
1610612737,Milwaukee,Hawks,MIL  ,1951,1954,NBA
1610612737,St. Louis,Hawks,STL  ,1955,1967,NBA
1610612737,Atlanta,Hawks,ATL  ,1968,2100,NBA
1610612739,Cleveland,Cavaliers,CLE  ,1970,2100,NBA
1610612740,New Orleans,Hornets,NOH  ,2002,2004,NBA
1610612740,Oklahoma City,Hornets,NOK  ,2005,2006,NBA
1610612740,New Orleans,Hornets,NOH  ,2007,2012,NBA
1610612740,New Orleans,Pelicans,NOP  ,2013,2100,NBA
1610612741,Chicago,Bulls,CHI  ,1966,2100,NBA
1610612742,Dallas,Mavericks,DAL  ,1980,2100,NBA
1610612743,Denver,Nuggets,DEN  ,1976,2100,NBA
1610612744,San Francisco,Warriors,SF   ,1962,1970,NBA
1610612744,Golden State,Warriors,GSW  ,1971,2100,NBA
1610612745,San Diego,Rockets,SD   ,1967,1970,NBA
1610612745,Houston,Rockets,HOU  ,1971,2100,NBA
1610612746,Buffalo,Braves,BUF  ,1970,1977,NBA
1610612746,San Diego,Clippers,SDC  ,1978,1983,NBA
1610612746,Los Angeles,Clippers,LAC  ,1984,2100,NBA
1610612747,Los Angeles,Lakers,LAL  ,1960,2100,NBA
1610612748,Miami,Heat,MIA  ,1988,2100,NBA
1610612749,Milwaukee,Bucks,MIL  ,1968,2100,NBA
1610612750,Minnesota,Timberwolves,MIN  ,1989,2100,NBA
1610612751,New York,Nets,NYK  ,1976,1976,NBA
1610612751,New Jersey,Nets,NJ   ,1977,2011,NBA
1610612751,Brooklyn,Nets,BKN  ,2012,2100,NBA
1610612753,Orlando,Magic,ORL  ,1989,2100,NBA
1610612754,Indiana,Pacers,IND  ,1976,2100,NBA
1610612755,Philadelphia,76ers,PHI  ,1963,2100,NBA
1610612756,Phoenix,Suns,PHX  ,1968,2100,NBA
1610612757,Portland,Trail Blazers,POR  ,1970,2100,NBA
1610612758,Cincinnati,Royals,CIN  ,1957,1971,NBA
1610612758,Kansas City-Omaha,Kings,KCO  ,1972,1974,NBA
1610612758,Kansas City,Kings,KC   ,1975,1984,NBA
1610612758,Sacramento,Kings,SAC  ,1985,2100,NBA
1610612759,San Antonio,Spurs,SAN  ,1976,2100,NBA
1610612760,Seattle,SuperSonics,SEA  ,1967,2007,NBA
1610612760,Oklahoma City,Thunder,OKC  ,2008,2100,NBA
1610612761,Toronto,Raptors,TOR  ,1995,2100,NBA
1610612762,New Orleans,Jazz,NEO  ,1974,1978,NBA
1610612762,Utah,Jazz,UTA  ,1979,2100,NBA
1610612763,Vancouver,Grizzlies,VAN  ,1995,2000,NBA
1610612763,Memphis,Grizzlies,MEM  ,2001,2100,NBA
1610612764,Chicago,Packers,CHI  ,1961,1961,NBA
1610612764,Chicago,Zephyrs,CHI  ,1962,1962,NBA
1610612764,Baltimore,Bullets,BAL  ,1963,1972,NBA
1610612764,Capital,Bullets,CAP  ,1973,1973,NBA
1610612764,Washington,Bullets,WAS  ,1974,1996,NBA
1610612764,Washington,Wizards,WAS  ,1997,2100,NBA
1610612765,Detroit,Pistons,DET  ,1957,2100,NBA
1610612766,Charlotte,Hornets,CHA  ,1988,2001,NBA
1610612766,Charlotte,Bobcats,CHA  ,2004,2013,NBA
1610612766,Charlotte,Hornets,CHA  ,2014,2100,NBA
1610612738,Boston,Celtics,BOS  ,1949,2100,NBA
1610612747,Minneapolis,Lakers,LAL  ,1949,1959,NBA
1610612758,Rochester,Royals,ROC  ,1949,1956,NBA
1610612765,Ft. Wayne Zollner,Pistons,FWZ  ,1949,1956,NBA
9013,All-Star,Team Durant,DRT  ,2021,2022,NBA
9015,Washington,Capitols,WAS  ,1949,1949,NBA
9059,Chicago,Stags,CHS  ,1949,1950,NBA
9063,Sheboygan,Redskins,SHE  ,1949,1950,NBA
9012,St. Louis,Bombers,BOM  ,1949,1950,NBA
9028,Anderson,Packers,AND  ,1949,1950,NBA
1610612752,New York,Knicks,NYK  ,1949,2100,NBA
9025,All-Star,Team Giannis,GNS  ,2019,2023,NBA
1610612744,Philadelphia,Warriors,PHI  ,1949,1961,NBA
9033,East,NBA All-Stars,EST  ,1951,2100,NBA
9039,All-Star,Team LeBron,LBN  ,2018,2100,NBA
9043,All-Star,Team Giannis,GNS  ,2019,2100,NBA
1610612737,Tri-Cities,Blackhawks,TRI  ,1948,1950,NBA
9067,West,NBA All-Stars,WST  ,1951,2100,NBA
9040,All-Star,All-Star LeBron,LBN  ,2018,2100,NBA
9062,All-Star,Team Stephen,STP  ,2018,2018,NBA
